dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
0.25,fraction_0p25,random,2,8,0.12899938300000713,21992.353250246502,0.43371663258267507,0.43371663258267507
0.25,fraction_0p25,random,3,1,0.056863289000006034,49891.59174383492,1.0,1.0
0.25,fraction_0p25,random,3,2,0.11073689300000922,25619.284803301856,0.5134990467901361,0.5134990467901361
0.25,fraction_0p25,random,3,4,0.3176036179999926,8932.517890901565,0.1790385429425661,0.1790385429425661
0.25,fraction_0p25,random,3,8,0.11641931199999078,24368.809188635514,0.48843519192082613,0.48843519192082613
0.25,fraction_0p25,risk_proxy,1,1,0.04330885800000317,65506.22969554617,1.0,1.0
0.25,fraction_0p25,risk_proxy,1,2,0.10158759899999836,27926.636990407125,0.4263203228181805,0.4263203228181805
0.25,fraction_0p25,risk_proxy,1,4,0.12828096100000153,22115.518763536285,0.3376093978591465,0.3376093978591465
0.25,fraction_0p25,risk_proxy,1,8,0.1288268119999998,22021.81328526553,0.3361789159232105,0.3361789159232105
0.25,fraction_0p25,risk_proxy,2,1,0.044367848999996795,63942.69868706515,1.0,1.0
0.25,fraction_0p25,risk_proxy,2,2,0.12274345199999459,23113.249250967172,0.3614681539182942,0.3614681539182942
0.25,fraction_0p25,risk_proxy,2,4,0.12606252700000198,22504.705145248718,0.35195113136194783,0.35195113136194783
0.25,fraction_0p25,risk_proxy,2,8,0.11038014300000043,25702.086651581787,0.40195498750166164,0.4019549875016616
0.25,fraction_0p25,risk_proxy,3,1,0.04240425599999753,66903.66174565509,1.0,1.0
0.25,fraction_0p25,risk_proxy,3,2,0.09687647200000526,29284.716313779943,0.43771470125372886,0.43771470125372886
0.25,fraction_0p25,risk_proxy,3,4,0.08920510999999465,31803.11083076037,0.47535680411133485,0.47535680411133485
0.25,fraction_0p25,risk_proxy,3,8,0.1463993099999925,19378.50663367297,0.28964792252094423,0.2896479225209443
0.5,fraction_0p5,always,1,1,0.10665268700000752,53210.09868227324,1.0,1.0
0.5,fraction_0p5,always,1,2,0.2712457159999957,20921.989418627683,0.39319583945063746,0.39319583945063746
0.5,fraction_0p5,always,1,4,0.21180864199999405,26793.052192838095,0.5035332174973791,0.5035332174973791
0.5,fraction_0p5,always,1,8,0.21897042399999123,25916.74207106722,0.4870643489278342,0.4870643489278341
0.5,fraction_0p5,always,2,1,0.10545995599999003,53811.89425112728,1.0,1.0
0.5,fraction_0p5,always,2,2,0.22302942999999686,25445.072428334144,0.4728521971292825,0.47285219712928256
0.5,fraction_0p5,always,2,4,0.32550190999999984,17434.613517321613,0.323991819279924,0.32399181927992404
0.5,fraction_0p5,always,2,8,0.25493493899999464,22260.581551750816,0.4136740001730098,0.41367400017300987
0.5,fraction_0p5,always,3,1,0.10841676999999095,52344.30060958719,1.0,1.0
0.5,fraction_0p5,always,3,2,0.3931180160000025,14435.8685408098,0.2757868263152566,0.2757868263152566
0.5,fraction_0p5,always,3,4,0.24239886000000865,23411.826276739906,0.44726600611895234,0.4472660061189524
0.5,fraction_0p5,always,3,8,0.30330263599999796,18710.68473008602,0.3574540974315557,0.3574540974315557
0.5,fraction_0p5,never,1,1,0.07460007699999949,76072.30753930776,1.0,1.0
0.5,fraction_0p5,never,1,2,0.20027273400000922,28336.35855792401,0.3724924282503481,0.3724924282503481
0.5,fraction_0p5,never,1,4,0.24504444400000125,23159.064157357392,0.30443488447344313,0.3044348844734431
0.5,fraction_0p5,never,1,8,0.18196899599999483,31186.631375380897,0.4099603703918969,0.40996037039189687
0.5,fraction_0p5,never,2,1,0.07336331500000881,77354.73785500722,1.0,1.0
0.5,fraction_0p5,never,2,2,0.20062096499999882,28287.173277229693,0.3656811988717592,0.3656811988717592
0.5,fraction_0p5,never,2,4,0.19092980000000637,29722.966242041897,0.3842423498060877,0.3842423498060877
0.5,fraction_0p5,never,2,8,0.2578543639999964,22008.54742950978,0.28451453705088287,0.28451453705088287
0.5,fraction_0p5,never,3,1,0.07299789399999668,77741.96882995362,1.0,1.0
0.5,fraction_0p5,never,3,2,0.19612546700000166,28935.558888943026,0.37219997543713207,0.37219997543713207
0.5,fraction_0p5,never,3,4,0.23861676399999965,23782.905714034445,0.3059210626123351,0.3059210626123351
0.5,fraction_0p5,never,3,8,0.22793833699999766,24897.084337331366,0.32025281468995465,0.32025281468995465
0.5,fraction_0p5,random,1,1,0.1074262480000101,52826.94039541869,1.0,1.0
0.5,fraction_0p5,random,1,2,0.4550070539999922,12472.334110231393,0.2360979836589785,0.2360979836589785
0.5,fraction_0p5,random,1,4,0.41567090200000223,13652.627529843236,0.2584406257044414,0.2584406257044414
0.5,fraction_0p5,random,1,8,0.255992581000001,22168.611206744223,0.41964594278616885,0.4196459427861688
0.5,fraction_0p5,random,2,1,0.10731018799999958,52884.07471618652,1.0,1.0
0.5,fraction_0p5,random,2,2,0.2794491680000135,20307.80782285144,0.38400611019172687,0.38400611019172687
0.5,fraction_0p5,random,2,4,0.28388704500000017,19990.345103630905,0.3780031174018509,0.37800311740185083
0.5,fraction_0p5,random,2,8,0.36572966399999984,15516.925638276916,0.2934139572555964,0.2934139572555964
0.5,fraction_0p5,random,3,1,0.10755684900000517,52762.79523584525,1.0,1.0
0.5,fraction_0p5,random,3,2,0.21576719799999466,26301.495559117102,0.49848563635705107,0.49848563635705107
0.5,fraction_0p5,random,3,4,0.2154806569999863,26336.47065592695,0.4991485105784321,0.49914851057843207
0.5,fraction_0p5,random,3,8,0.22156804799999463,25612.89884180474,0.4854348358027137,0.4854348358027136
0.5,fraction_0p5,risk_proxy,1,1,0.0840145519999993,67547.82195351167,1.0,1.0
