dataset_fraction,workload_name,policy_mode,seed,workers,trace_hash,reference_hash,hash_match,record_trace_hash,reference_record_trace_hash,record_trace_hash_match,config_manifest_hash,config_bound_trace_hash,intervention_rate,reference_intervention_rate,intervention_rate_delta,unauthorized_invocations,authorization_execution_consistent,receipt_validation_passed,receipt_fault_injected_count,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count
0.1,fraction_0p1,always,3,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,037f47bd8971467e7043491721d5b802c61f38cb298302b35f1e4d41c2e6cfef,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,1,1,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,a7441f2f463277ae4e696d593d2ce8c8f1620dad724ed65a10ef314adff7529c,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,1,2,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,ec1ca17c397ad6377bd852cc8b124f1db4ae15ad9b3284449c4841c62c3f98a5,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,1,4,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,1c34bb71dbb8b16ac25a6c9ef256ac512a30981eff83eb79a96763c1d7f0371c,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,1,8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,869e2025e3e3221efa71ae43b7da8631243378d21b2d721cf98103591639e152,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,2,1,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,6897e1f674d00c5378ba1036ceb6e24469bbed6a92d8e4e76bcefc55fe9d35a0,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,2,2,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,ab83121e057e3a2943b1b73c0ca66d29662fd0d4736cfdb7e2c3c350c3cf8abb,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,2,4,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,bfd607132235736ac86f24ab1b7c65176d2185f9ed4fa72ad9834bad1c3b51a0,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,2,8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,b8ba91fdc6042775b6c1380a5e3936adbeb9b4cf42f085f6dbd67cc69ee0f8f9,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,3,1,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,d899798b2f158e855bedd37729210babf37ce81bca6c7a1792025fd4974cc5ab,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,3,2,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,f90979330b1395c86ab806030ccff3936b654ba393bd98a2ceb79983a364df16,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,3,4,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,953b56f603561f77274060de592244588989ca0a60d89f96a9ec922383a5befb,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,never,3,8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,,,,aef2d07697ea04198eb8d221b51d320048043e7c29eea6098c8c11591074ba6d,,0.0,0.0,0.0,0,1,1,0,1135,1135,1,1,0
0.25,fraction_0p25,risk_proxy,1,1,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,d2b27b15e8b6945dcf6e83acd84126e87c84d8378f94e62f90f4c89af6d44e89,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,1,2,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,6bb6614b98f7243f665c234b867804e70b0bee1d823105fe906f778d8b9e1916,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,1,4,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,88a916b63bcfe07717e99ab64cc7268a9dcea15e1165889824552e6df1fa559e,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,1,8,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,aecbbcb17c8bcad8f41390814f3c697774de94e52b302f2d8a7df1245fa099b2,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,2,1,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,d3190253653b8b373715a5d82a919375e0faca0580291d6ec495e6bb968c93e1,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
