dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,authorization_execution_consistent,row_count_match,validation_passed,fault_injected_count,memory_delta_mb,state_missing_count
0.75,fraction_0p75,always,8,0.38078946033332767,22932.546305515545,0.11712251830535174,0.017086666664075285,0.028031466662999566,1.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,1,0.10899555433332846,78110.08463515805,0.01125994576925346,0.011026666669522456,0.012395000000727427,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,2,0.33602533666666545,25383.24771497453,0.027988351971543052,0.011113333338623002,0.018713533328688445,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,4,0.37054429466666267,24629.311717863955,0.03639106672143447,0.011193333326294427,0.017990799996899412,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,8,0.3533844506666621,25126.586290886644,0.039045734641133055,0.01105666666489924,0.019509399997256573,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,1,0.16590736666666808,51373.461912813924,0.01791338889537895,0.019540000001446362,0.02088286666245646,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,2,0.48137880800000704,19141.773373281794,0.05309684901519196,0.02134333333477419,0.03623399999999795,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,4,0.4505600463333413,21494.537965326315,0.0889708949056997,0.022000000010772663,0.03128866666581113,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,8,0.36760636633332905,23396.87720201634,0.10037644939102654,0.020039999990710083,0.031564200005126004,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,1,0.1299790469999967,65495.24874420804,0.013700148361438383,0.012120333328387764,0.01856120000525152,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,2,0.4073052549999924,20941.006184006274,0.04733189510165492,0.013116333330268995,0.030185866673567333,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,4,0.3881980556666728,23410.2183563462,0.050426434590317225,0.012653333338145481,0.027894666663996755,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,8,0.32681640233334025,26079.010929747426,0.08136978014022317,0.012350000010504422,0.024533466669633217,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
1.0,fraction_1p0,always,1,0.2118646153333259,53578.0540635305,0.017135460429293235,0.01682333333974384,0.017675333324973508,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,always,2,0.47093860500000534,24106.55181343605,0.05703317657767637,0.017066666676631332,0.023601666669037513,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,always,4,0.547583121666662,20905.626560747613,0.07030099424428311,0.017179999995657152,0.030536833331022233,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,always,8,0.594618488666678,19720.30167694908,0.10468482227698674,0.017206333325248124,0.0322466666678641,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,1,0.1459194623333436,77797.05839319956,0.011299473115460036,0.010966666669294986,0.01164000000149675,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,2,0.4455887449999996,25808.81659080618,0.040372847796141254,0.011090000005727537,0.016730166668329122,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,4,0.44906945433334045,25370.370379018295,0.05671939790917055,0.0111129999993409,0.018253333332533355,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,8,0.453386507333344,25435.230897629383,0.04444406962676158,0.011056333325617137,0.018278166668513524,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,1,0.21621209600000194,52499.907040446145,0.017463165183449713,0.01966666666438262,0.02084333333603657,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,2,0.7760248933333381,14872.040846989885,0.051468971015711885,0.022089666667094814,0.03872333333276856,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,4,0.5912225296666614,20776.840374700478,0.0884798304112852,0.020046666672139207,0.02921316666496902,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,8,0.6109219440000023,18666.810132775656,0.07790428382225968,0.020150000002179997,0.03283633333239777,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,risk_proxy,1,0.17442040033332282,65079.58109146115,0.013795558746702373,0.012179999989333131,0.018633333335552987,0.22984759052065898,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,risk_proxy,2,0.5050287149999994,22528.1012150772,0.05016605702868302,0.01266666667258202,0.02739866666937966,0.22984759052065898,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,risk_proxy,4,0.623051112999993,19833.370239405165,0.0653543380904591,0.014039999996384722,0.02944666665882778,0.22984759052065898,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,risk_proxy,8,0.41814912533334336,27169.56349447096,0.0990801866796167,0.012257000008730756,0.020483333329934794,0.22984759052065898,0.0,1.0,1.0,1.0,0.0,,11351.0
