dataset_fraction,workload_name,workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,throughput_points_per_second_mean,throughput_points_per_second_std,intervention_rate_mean,intervention_rate_std,unauthorized_invocations_max,fault_injected_count_max,memory_delta_mb_max,state_missing_count_max
0.75,fraction_0p75,8513,risk_proxy,2,6.547627,,1300.315771,,0.222718,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,risk_proxy,4,6.257996,,1360.488241,,0.222718,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,risk_proxy,8,6.314205,,1348.262225,,0.222718,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,1,8.931404,,1272.114215,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,2,8.794088,,1291.354617,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,4,8.436311,,1345.674275,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,8,8.449611,,1343.381245,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc,1,9.097484,,1248.134927,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc,2,8.838763,,1284.29772,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc,4,8.489159,,1337.43641,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc,8,8.538011,,1329.474272,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc_live,1,5.573092,,2036.76361,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc_live,2,5.860948,,1937.712125,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc_live,4,5.8689,,1934.551321,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc_live,8,5.75804,,1971.94229,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,never,1,8.65185,,1312.012151,,0.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,never,2,8.810274,,1288.86294,,0.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,never,4,8.270961,,1372.456056,,0.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,never,8,8.367118,,1356.646257,,0.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,random,1,9.071661,,1251.482307,,0.499604,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,random,2,8.92772,,1272.059829,,0.499604,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,random,4,8.471165,,1340.021414,,0.499604,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,random,8,8.564263,,1325.440506,,0.499604,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,risk_proxy,1,16.083153,,968.746262,,0.229848,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,risk_proxy,2,8.807255,,1288.883723,,0.229848,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,risk_proxy,4,8.339677,,1361.249849,,0.229848,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,risk_proxy,8,8.341538,,1360.788295,,0.229848,,0.0,0.0,,0.0
