workload_size,policy_mode,workers,replay_runtime_seconds,policy_action_time_seconds,gating_time_seconds,aggregation_time_seconds,trace_hash_time_seconds,trace_hash_overhead_percent,throughput_points_per_second
100000,bc,4,0.001408,0.00083,0.000134,0.000173,0.00023,16.483734,72435657.523943
100000,bc,8,0.001684,0.0011,0.000134,0.000166,0.000224,13.331884,59585769.214203
100000,never,1,0.00067,9.1e-05,0.000144,0.000175,0.00024,35.906457,149218869.706485
100000,never,2,0.001071,0.000494,0.000129,0.000169,0.000241,22.611189,94066970.619198
100000,never,4,0.001211,0.000613,0.000125,0.000177,0.000247,20.402757,83131862.774686
100000,never,8,0.001574,0.000979,0.000134,0.000176,0.000233,14.782664,63720037.332474
100000,proxy,1,0.008531,0.008005,0.000118,0.000153,0.000222,2.617599,11744234.53555
100000,proxy,2,0.009389,0.00882,0.000153,0.000159,0.0002,2.133847,10679353.388533
100000,proxy,4,0.009079,0.00844,0.000159,0.000171,0.000245,2.696804,11030941.405787
100000,proxy,8,0.010889,0.010197,0.000166,0.000174,0.000264,2.41628,9201067.735876
100000,random,1,0.002841,0.002067,0.000224,0.000173,0.000213,7.575356,35562980.800352
100000,random,2,0.002582,0.001782,0.000269,0.000168,0.000237,9.150724,38910999.716776
100000,random,4,0.002458,0.001746,0.000206,0.000185,0.000251,10.268607,41040849.458345
100000,random,8,0.002958,0.00203,0.000249,0.000181,0.000269,9.062788,33944671.323945
500000,always,1,0.006022,0.002545,0.001113,0.000846,0.001256,20.733751,83571003.833367
500000,always,2,0.006972,0.0025,0.001538,0.001198,0.00146,20.702793,73825365.02497
500000,always,4,0.006306,0.002392,0.001323,0.000852,0.001233,19.581634,79589851.448198
500000,always,8,0.006358,0.002241,0.001539,0.000936,0.001204,19.18573,80207081.437305
500000,bc,1,0.004694,0.002134,0.000646,0.000764,0.000987,21.102272,107804006.178881
500000,bc,2,0.004518,0.002083,0.000652,0.000651,0.000914,20.510657,112195301.115476
500000,bc,4,0.006195,0.002749,0.000903,0.000949,0.001191,18.888126,81774714.335431
500000,bc,8,0.006041,0.003179,0.000767,0.000703,0.001095,18.116946,83681825.512034
500000,never,1,0.0049,0.001713,0.00085,0.000781,0.001375,27.690662,103868796.320947
500000,never,2,0.006032,0.001958,0.001129,0.001047,0.001645,26.978994,86162315.850835
500000,never,4,0.005479,0.00206,0.000987,0.000904,0.001128,20.669489,92574367.926602
500000,never,8,0.004813,0.001684,0.000941,0.000717,0.001073,22.465788,104297981.368625
500000,proxy,1,0.03858,0.036265,0.000566,0.00063,0.000912,2.364974,12972705.873568
500000,proxy,2,0.038032,0.035654,0.00069,0.000639,0.000941,2.473008,13147083.342005
500000,proxy,4,0.040002,0.037311,0.000775,0.000661,0.000921,2.303509,12503415.764848
500000,proxy,8,0.040403,0.037787,0.000873,0.000621,0.000897,2.221503,12375936.12496
500000,random,1,0.014762,0.012174,0.000638,0.000722,0.001044,7.060892,33906113.179844
500000,random,2,0.010939,0.008296,0.000776,0.000657,0.000951,8.711172,45834045.391723
500000,random,4,0.00902,0.005927,0.00092,0.000772,0.001173,12.944338,55544689.693469
500000,random,8,0.010081,0.006475,0.000948,0.000889,0.001524,14.939697,50732184.145519
1000000,always,1,0.008231,0.002803,0.001625,0.001455,0.00211,25.695291,121782545.976542
1000000,always,2,0.008001,0.002689,0.001533,0.001356,0.002121,26.528271,125674031.281936
1000000,always,4,0.008361,0.002867,0.001628,0.001311,0.002221,26.381262,120603154.064124
1000000,always,8,0.008302,0.002575,0.001659,0.00131,0.002345,28.362055,121619424.301131
1000000,bc,1,0.008692,0.003559,0.001257,0.001272,0.002213,25.475793,115240119.342066
1000000,bc,2,0.009608,0.003953,0.001478,0.001395,0.002277,23.918113,104401691.268828
1000000,bc,4,0.009265,0.003576,0.00172,0.001587,0.001981,21.365544,108680093.926652
1000000,bc,8,0.010052,0.00412,0.001663,0.001392,0.002472,24.606666,99570956.244965
1000000,never,1,0.008921,0.003115,0.001735,0.001542,0.00217,24.787881,118160548.443932
1000000,never,2,0.009652,0.002988,0.002309,0.001565,0.002497,25.962742,104129670.709383
1000000,never,4,0.008371,0.002876,0.00153,0.001452,0.002172,25.978814,120872688.602267
1000000,never,8,0.010055,0.002906,0.002318,0.00177,0.002497,24.216208,104811825.154003
1000000,proxy,1,0.074331,0.069487,0.001434,0.001193,0.001745,2.347233,13456235.625716
1000000,proxy,2,0.076667,0.071598,0.001362,0.001205,0.001934,2.521867,13054729.031537
1000000,proxy,4,0.075654,0.070455,0.001508,0.00122,0.001925,2.541266,13229968.504107
1000000,proxy,8,0.075855,0.070342,0.001668,0.001396,0.00207,2.730278,13183863.88304
1000000,random,1,0.026513,0.021276,0.001594,0.00126,0.001967,7.422459,37722480.416581
1000000,random,2,0.018657,0.011893,0.002092,0.001635,0.002531,13.564219,53643662.151242
1000000,random,4,0.01669,0.010649,0.001743,0.00146,0.002251,13.481589,59957813.204824
1000000,random,8,0.015566,0.00991,0.001759,0.001563,0.001959,12.582645,64266536.110106
