dataset_fraction,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,memory_delta_mb
1.0,bc,8,4.635724999998881,2448.677508338083,3.1083721052317763,4.499233333262964,1.0,0.0,
1.0,never,1,3.898781500001254,2911.4390914247256,0.2378978239845801,0.2938999999363053,0.0,0.0,
1.0,never,2,4.414048633333247,2572.5719958896684,0.6448589375408927,0.7449833325760361,0.0,0.0,
1.0,never,4,4.530630199998996,2505.737409746001,1.4547790561813665,1.939416667179709,0.0,0.0,
1.0,never,8,4.489686866666792,2528.355714763155,3.010762047403549,4.367916666524252,0.0,0.0,
1.0,proxy,1,4.070492766667788,2792.0801976889684,0.2496819516779147,0.3289166658457058,0.2298475905206589,0.0,
1.0,proxy,2,4.801303266667674,2365.2460533191183,0.7035829501065832,0.8929499993731346,0.2298475905206589,0.0,
1.0,proxy,4,4.659766633333978,2436.1094913711163,1.496454685341537,1.9886500006881156,0.2298475905206589,0.0,
1.0,proxy,8,4.633771999999833,2450.988528781478,3.113533694533746,4.5043500006916775,0.2298475905206589,0.0,
1.0,random,1,4.1369680666660615,2745.2250789716486,0.2566283969078022,0.3111833320872392,0.5008956626435263,0.0,
1.0,random,2,4.663082866666325,2434.684589679124,0.6893117610710225,0.7884166661824565,0.5008956626435263,0.0,
1.0,random,4,4.794516866665314,2367.6937735856864,1.5460691069882009,2.0486000000043227,0.5008956626435263,0.0,
1.0,random,8,4.708866999999979,2410.582923990509,3.171293489551019,4.591400000208523,0.5008956626435263,0.0,
