dataset_fraction,decision_points,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,p95_latency_ms,memory_delta_mb,intervention_rate,unauthorized_invocations
0.5,5675,proxy,8,2.2533010666666087,2518.772701466489,3.0123265491993916,4.383963334233462,,0.2095154185022026,0.0
0.5,5675,random,1,2.0641866000005393,2749.5444682638413,0.256784293697511,0.3143399997497909,,0.49756240822320114,0.0
0.5,5675,random,2,2.333950399999594,2432.2322826834575,0.6902985726909682,0.7865000008071851,,0.49756240822320114,0.0
0.5,5675,random,4,2.36587613333298,2399.440824991944,1.5228387136330277,2.0293666663443823,,0.49756240822320114,0.0
0.5,5675,random,8,2.3511936333319077,2413.8102314208377,3.159433298090344,4.5932500001072185,,0.49756240822320114,0.0
0.75,8513,always,1,3.0689560000003744,2773.9237063129417,0.25299719644096447,0.31471333350054914,,1.0,0.0
0.75,8513,always,2,3.4758974999992156,2449.842477093049,0.6794153294900225,0.8074533330121388,,1.0,0.0
0.75,8513,always,4,3.5015519333331517,2431.8651378991076,1.5039272367687861,2.0099266669906988,,1.0,0.0
0.75,8513,always,8,3.468237066666916,2454.640210523815,3.1055200086423227,4.5140066657040725,,1.0,0.0
0.75,8513,bc,1,3.092977033332621,2752.6863936702644,0.25498588432714525,0.32312000087889214,,1.0,0.0
0.75,8513,bc,2,3.4720553000006475,2452.527005853064,0.6819211519648333,0.8081933325835658,,1.0,0.0
0.75,8513,bc,4,3.516559000000901,2421.110830787117,1.5125810955710008,2.0004000007853997,,1.0,0.0
0.75,8513,bc,8,3.494155200000629,2436.4495892871496,3.131427941593928,4.525940000651947,,1.0,0.0
0.75,8513,never,1,3.1889769333344398,2673.2954159060855,0.2602407690121055,0.3669599997616993,,0.0,0.0
0.75,8513,never,2,3.4656297000013487,2460.8027244914,0.6763484709520161,0.8108200000909466,,0.0,0.0
0.75,8513,never,4,3.4970377666674417,2435.591115311999,1.49709365285354,2.005853333685081,,0.0,0.0
0.75,8513,never,8,3.390333766667027,2511.168028864967,3.0317726770848066,4.399253334122476,,0.0,0.0
0.75,8513,proxy,1,3.0910109000008865,2754.3889426359765,0.2530608324326329,0.33004666668906185,,0.22271819570069304,0.0
0.75,8513,proxy,2,3.3602911999987555,2533.851166666309,0.6563238497840687,0.7757666666293516,,0.22271819570069304,0.0
0.75,8513,proxy,4,3.4748288666681524,2450.090082620293,1.488418783044965,1.9966533334809353,,0.22271819570069304,0.0
0.75,8513,proxy,8,3.4021147999992536,2502.457448086417,3.0421368299577716,4.417753333594494,,0.22271819570069304,0.0
0.75,8513,random,1,3.1554083666669612,2698.336039830118,0.2614775558968949,0.3263666663163651,,0.5031911977759504,0.0
0.75,8513,random,2,3.5337658999997075,2409.4525320008,0.6957066917272533,0.8243266674980987,,0.5031911977759504,0.0
0.75,8513,random,4,3.612535399999615,2356.604594315337,1.5529415795430819,2.084899999317713,,0.5031911977759504,0.0
0.75,8513,random,8,3.6068914666648197,2362.1311267706524,3.236348819459872,4.7247400000439175,,0.5031911977759504,0.0
1.0,11351,always,1,4.083265566667251,2780.659852830693,0.25234534110729867,0.305833333186456,,1.0,0.0
1.0,11351,always,2,4.596438933332441,2470.601113819398,0.676452336067927,0.7574499995826045,,1.0,0.0
1.0,11351,always,4,4.684522533332104,2423.5180973355696,1.5090973012757811,1.9907833338947967,,1.0,0.0
1.0,11351,always,8,4.641076633333189,2445.803440429923,3.114860332423549,4.510233333955209,,1.0,0.0
1.0,11351,bc,1,4.054156733333609,2799.8708966380823,0.2507766922193073,0.3079833325803823,,1.0,0.0
1.0,11351,bc,2,4.585452100000111,2476.7166693427826,0.6753586115768481,0.7791166687335741,,1.0,0.0
1.0,11351,bc,4,4.692349899999196,2419.1484647323673,1.5116432531660988,1.9950666658890743,,1.0,0.0
1.0,11351,bc,8,4.635724999998881,2448.677508338083,3.1083721052317763,4.499233333262964,,1.0,0.0
1.0,11351,never,1,3.898781500001254,2911.4390914247256,0.23789782398458004,0.2938999999363053,,0.0,0.0
1.0,11351,never,2,4.414048633333247,2572.5719958896684,0.6448589375408927,0.7449833325760361,,0.0,0.0
1.0,11351,never,4,4.5306301999989955,2505.737409746001,1.4547790561813663,1.939416667179709,,0.0,0.0
1.0,11351,never,8,4.4896868666667915,2528.355714763155,3.0107620474035492,4.367916666524252,,0.0,0.0
1.0,11351,proxy,1,4.070492766667788,2792.0801976889684,0.2496819516779147,0.3289166658457058,,0.22984759052065887,0.0
1.0,11351,proxy,2,4.801303266667674,2365.246053319118,0.7035829501065832,0.8929499993731346,,0.22984759052065887,0.0
1.0,11351,proxy,4,4.659766633333978,2436.1094913711163,1.496454685341537,1.9886500006881154,,0.22984759052065887,0.0
1.0,11351,proxy,8,4.633771999999833,2450.988528781478,3.113533694533746,4.5043500006916775,,0.22984759052065887,0.0
1.0,11351,random,1,4.1369680666660615,2745.2250789716486,0.25662839690780226,0.31118333208723925,,0.5008956626435263,0.0
1.0,11351,random,2,4.663082866666325,2434.684589679124,0.6893117610710225,0.7884166661824565,,0.5008956626435263,0.0
1.0,11351,random,4,4.794516866665314,2367.6937735856864,1.5460691069882007,2.0486000000043227,,0.5008956626435263,0.0
1.0,11351,random,8,4.708866999999979,2410.582923990509,3.171293489551019,4.591400000208523,,0.5008956626435263,0.0
