configuration_id,execution_instance_id,dataset_fraction,workload_name,decision_points,policy,policy_mode,policy_seed,workers,repetition,runtime_seconds,total_runtime_seconds,throughput_points_per_second,trace_hash,reference_hash,hash_match,unauthorized_invocations,authorization_execution_consistent,row_count_match,validation_passed,fault_injected_count,intervention_rate,state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,workload_fraction
rbpg-fbf73afc76625b7d16beb11e,rbpg-exec-89d51d3cdaac49ae995a1e20408dcbec,0.1,fraction_0.1,1135,random,random,1,1,7,0.0200390999998489,0.0200390999998489,56639.27022713362,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,0,1,1,1,0,0.4889867841409692,0.0,0.0,0.0,0.0,0.0040218502519388,0.0034000004234258,0.006500000381493,0.0028117027595859,0.0002051101650556,0.0001999997039092,0.0003000004653586,6.916979269621862e-05,0.0066336564086187,0.0063999996200436,0.0146999997014063,0.005261797649468,0.0031324228784556,0.0025999997887993,0.0053300000217859,0.0017209276166297,0.0164665198163206,0.015499999790336,0.0310000001263688,0.0079475387675668,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-917eac0666e74925abbc870917523be2,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,1,0.0131082999996579,0.0131082999996579,86586.3613153209,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0011261674003816,0.0010000003385357,0.0012999989849049,0.0014077485228215,0.0001691629935649,0.0001999997039092,0.0002000015228986,4.805200693994062e-05,0.0044396475719935,0.0029999991966178,0.008900000466383,0.003970325588909,0.0026477533089389,0.00240000008489,0.0029000002541579,0.0015880145730331,0.0105439647318695,0.0086999989434843,0.0205299998924601,0.0051693331888856,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-5373864dc3354f9d88cf5ebe5883b15d,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,2,0.0127468999999109,0.0127468999999109,89041.25709058106,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0010555065870346,0.0010000003385357,0.001200000042445,0.000956150081293,0.0001681937927396,0.0001999997039092,0.0002000015228986,4.732304663164648e-05,0.0042607929147415,0.0028000013116979,0.0080000008892966,0.0037607110370938,0.0026401761811691,0.00240000008489,0.0027999994927085,0.0019560519792806,0.0101986784290646,0.0082000005932059,0.0158300004841294,0.0049805160312161,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-613305aabc194994bc2a41553e783bab,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,3,0.0121698000002652,0.0121698000002652,93263.65264632636,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0010607048580915,0.0010000003385357,0.001200000042445,0.0010602915045435,0.000178149801262,0.0001999997039092,0.0002000015228986,0.0004309380361371,0.0040028193757981,0.0027999994927085,0.0078000011853873,0.0027734091204174,0.0025418502041307,0.00240000008489,0.0025999997887993,0.0016715610510648,0.0098228193713107,0.0082000005932059,0.0136999988171737,0.0039467020732228,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-74177181d33e4c6b8017663cf12258c0,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,4,0.0129983000006177,0.0129983000006177,87319.11095651423,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0010866079467147,0.0010000003385357,0.0012999989849049,0.0012748797743927,0.0001688987000138,0.0001999997039092,0.0002000015228986,4.760448951424479e-05,0.0043407929629792,0.0028000013116979,0.0083000000813626,0.0038109280557104,0.0027493392002572,0.0023000011424301,0.0028999984351685,0.0028899151640532,0.0104499559715264,0.0080999998317565,0.0226200001634424,0.0057159562985244,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-e0ce4945e90d4ff094b807717cbd976e,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,5,0.0148336000002018,0.0148336000002018,76515.47837238136,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0013211453889931,0.0012999989849049,0.0015000005078036,0.0002562565317684,0.0002111013327922,0.0001999997039092,0.0003000004653586,0.0001246673918004,0.0050145374469475,0.003600000127335,0.010199999451288,0.0031883641048001,0.0030235242250371,0.0029999991966178,0.0032000007195165,0.0004114248361431,0.0119436123907886,0.0104999999166466,0.0173999997059581,0.0034129413558359,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-424ae58bbbd644419c3f566e763cfcf6,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,6,0.0113641999996616,0.0113641999996616,99875.0462006822,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0009795594603384,0.0009000013960758,0.001100001099985,0.0008913711616085,0.0001595594747389,0.0001999997039092,0.0002000015228986,4.9077647181209066e-05,0.0038292510607428,0.0027000005502486,0.007700000423938,0.0024199335242646,0.0023943612145337,0.0022999993234407,0.0024999990273499,0.0010424065368595,0.0091775330134215,0.0079000001278473,0.0132000004668952,0.002988167149483,0.1
rbpg-e3d4d01c6e68ca919fefc5fa,rbpg-exec-60a51c74358c473eb75496dd8fd46e49,0.1,fraction_0.1,1135,risk_proxy,risk_proxy,1,1,7,0.0113589000011415,0.0113589000011415,99921.64733257008,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0,1,1,1,0,0.1991189427312775,0.0,0.0,0.0,0.0,0.0009542731164994,0.0008999995770864,0.0010999992809956,0.0006134015727092,0.0001563876748699,0.0001999997039092,0.0002000015228986,4.959027752144674e-05,0.003777444945999,0.0026999987312592,0.0073999999585794,0.002702591771704,0.0023687224787591,0.0022999993234407,0.00240000008489,0.0012361157157267,0.0091707488913104,0.007700000423938,0.0127999992400873,0.0035170859029058,0.1
rbpg-17c0d428a25c7475d46c6157,rbpg-exec-63f5e93812b14f0e9a9960fa963527d4,0.25,fraction_0.25,2837,always,always,1,1,1,0.0394295999994938,0.0394295999994938,71951.02156847702,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003149453720614,0.0003000004653586,0.0003999994078185,0.0005297049704333,0.0001757842846911,0.0001999997039092,0.0002000015228986,0.0003946980410766,0.0077467395304182,0.0069999987317714,0.0084999992395751,0.0037141567386549,0.002594712725227,0.00240000008489,0.0027999994927085,0.0017835361795411,0.0129034543617948,0.0116000010166317,0.0168399990798206,0.0051707825356858,0.25
rbpg-17c0d428a25c7475d46c6157,rbpg-exec-d95c8b35f422402596e2778e769409c1,0.25,fraction_0.25,2837,always,always,1,1,2,0.039186799998788,0.039186799998788,72396.82750537788,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003227000220311,0.0003000004653586,0.0003999994078185,0.0006978132270715,0.0001759605163607,0.0001999997039092,0.0002000015228986,0.0002710704930756,0.0077029961039298,0.0070000005507608,0.0086000000010244,0.0031853075577254,0.0025921043412275,0.0023000011424301,0.0027200003387406,0.0020519463931,0.0128244624618283,0.0116999999590916,0.0148999992234166,0.0046368336609769,0.25
rbpg-17c0d428a25c7475d46c6157,rbpg-exec-e1fac5a3afd64e9d8af366ca064b6bc0,0.25,fraction_0.25,2837,always,always,1,1,3,0.0389539000007062,0.0389539000007062,72829.6781567075,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003115614721563,0.0003000004653586,0.0003999994078185,0.0003940609672031,0.0001842086888675,0.0001999997039092,0.0002000015228986,0.0004176290138532,0.0076639760158726,0.0070000005507608,0.0086000000010244,0.0035254429728934,0.0025164610481553,0.0022999993234407,0.0027000005502486,0.0019887151876052,0.0127412407325033,0.0116999999590916,0.0153199998749187,0.00485715716111,0.25
