policy_mode,seed,workers,fault_mode,expected_rows,observed_rows,injected_events,ray_task_count,ray_execution_seconds,throughput_points_per_second,expected_hash,observed_hash,hash_match,row_count_match,unauthorized_invocations,authorization_execution_consistent,validation_passed,expected_flagged,detected_flag,detection_correct,reference_source,workload_fraction,decision_points,ray_chunk_size,ray_init_seconds,input_csv
risk_proxy,1,4,dropped_row,11351,11238,113,45,0.09004650000133552,124802.18553562132,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,f60201b396122702f7ac1b258a94ca8aa706ef7dfe8fd08182018864a53e37df,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,2,4,clean,11351,11351,0,45,0.07837130000189063,144836.18365047112,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,2,4,action_flip,11351,11351,107,45,0.09017329999915091,125879.83361046876,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,ba3ef68f13185b4911532d3a5429321afe5371604ea09cfc85b82359a6684595,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,2,4,dropped_row,11351,11238,113,45,0.08870349999779137,126691.73144554404,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,125dc10a3657e5258ae904d2296816c22a96f771539aaa2ece09fcfd4e17521c,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,3,4,clean,11351,11351,0,45,0.08805310000025202,128910.85038422853,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,3,4,action_flip,11351,11351,130,45,0.09519880000152625,119234.69623375524,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,b72276ffb75bbef948ea72f1eb39984aa2dd01c2bf1841bbcb42092670fb0ef7,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,3,4,dropped_row,11351,11238,113,45,0.07397779999882914,151910.43799866806,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,0ad24b8aa66d9a1264b448fe0a39f875ddffa3fa71491fb6467b11c6eabbb72d,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,1,4,clean,11351,11351,0,45,0.08512150000024121,133350.5636057616,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,1,4,action_flip,11351,11351,114,45,0.1023587999989104,110894.22697531458,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,944e99cc4f407c56a42d648e0fc13fd1a5049c533b310a88eaaa39af0487cf20,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,1,4,dropped_row,11351,11238,113,45,0.08796219999931054,127759.4239353732,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,bdf48c18df17f3200cc81b79760681e866bb75c0ddc9109246e26a54defd0240,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,2,4,clean,11351,11351,0,45,0.09073390000048676,125102.08422584178,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,2,4,action_flip,11351,11351,109,45,0.09524079999755486,119182.11523098731,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,fb3a4176a7faafa97746e5691a004ae7fe627465ac70ed9d0a105cad7ddd3241,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,2,4,dropped_row,11351,11238,113,45,0.09070580000116024,123895.05411843842,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,8c36c8a086950766f5bfcf77afef629aa6fbffb5ed262b72815d6d2dc6c2117e,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,3,4,clean,11351,11351,0,45,0.08419100000173785,134824.38740204647,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
random,3,4,action_flip,11351,11351,119,45,0.09380329999839887,121008.53594909508,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,757a6eb1bfe2b5512210e5f6db747a9b04572d1203c09241b521a0550237f7f3,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
