dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,memory_delta_mb,state_missing_count
0.25,fraction_0p25,bc,2,2.5765707376664673,1101.08740656787,1.778346538477791,1.1054009998285135,1.753181333151587,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc,4,3.550324006333843,799.4054712271542,4.955081415104218,2.6749053334545656,21.082668799681226,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc,8,3.712845785999889,764.4122770436751,10.405610918929144,5.7279483332119225,50.75188700005432,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,1,1.0623191793335234,2671.8868882428674,0.013386940080468457,0.012909999895782676,0.014115733150295755,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,2,1.1633255340002506,2443.9676585465936,0.044012880855221675,0.01340333377205146,0.020236466722659913,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,4,1.1546253669997288,2468.414955900338,0.051245795675916396,0.013457333504144723,0.024116933006249976,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,8,1.1719004319999538,2421.9522753762144,0.10692184938069164,0.01369666673175137,0.023186333479922407,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,1,1.7450787750000625,1625.7660494716304,0.6109500699082298,0.5076066663605161,0.7975255334410271,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,2,2.5107435990000035,1131.3789491459495,1.7391275183859485,1.0680976665753406,1.6767158664151791,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,4,3.5172952390000014,807.3924651340741,4.917123505106747,2.637461999862959,17.816910333264463,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,8,3.6951093946666638,768.1511280744159,10.371684010565858,5.638211333158931,50.66879500009235,0.0,0.0,0.0,,0.0
