dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,memory_delta_mb,state_missing_count
0.75,fraction_0p75,bc_live,2,2.9615734519998114,2878.5678232414734,0.039378685893079704,0.01257766674219359,0.01569160018940844,1.0,0.0,0.0,,0.0
0.75,fraction_0p75,bc_live,4,2.9968359760000567,2844.108187061682,0.056672515486436904,0.012448666742178224,0.01681066645081349,1.0,0.0,0.0,,0.0
0.75,fraction_0p75,bc_live,8,3.107623311666733,2740.278532182436,0.07539989635536862,0.012751666569480827,0.01942240002487475,1.0,0.0,0.0,,0.0
0.75,fraction_0p75,never,1,4.8423333866667235,1758.2205638678208,0.5657131935472671,0.40656099993915024,0.5026432000704517,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,never,2,8.126506386666582,1047.764037952514,1.8754459861394002,1.0106690000005376,1.3313604667018808,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,never,4,11.199218224666614,760.1659654514198,5.227500967931712,2.4159473333990413,49.01810593322134,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,never,8,11.21837212566652,758.864500778268,10.490816552920291,4.93515700009084,58.24879053340434,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,proxy,1,6.397041947999999,1460.246514212443,0.7482938321781365,0.4149566667971764,1.160586333389801,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,proxy,2,8.100985826333272,1050.9670762181313,1.8707666923526023,1.0161846668476453,1.353640400157019,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,proxy,4,11.185239226666758,761.0967577354792,5.205924988997708,2.4240036665711764,48.57652266664433,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,proxy,8,11.23798117899984,757.5260342312819,10.500657426564548,4.956007999832461,58.18646093348434,0.0,0.0,0.0,,0.0
0.75,fraction_0p75,random,1,5.171056299000156,1646.674484363503,0.6030268839810917,0.445569333351159,0.5727073999878485,0.4964955558165942,0.0,0.0,,0.0
0.75,fraction_0p75,random,2,8.322779084666763,1022.8740021896641,1.926109554800483,1.0688756665331312,1.3946966000124421,0.4964955558165942,0.0,0.0,,0.0
0.75,fraction_0p75,random,4,11.685269488666563,728.5380808980229,5.441734727709421,2.5387346666623976,51.089410999975364,0.4964955558165942,0.0,0.0,,0.0
0.75,fraction_0p75,random,8,11.738902077666657,725.2011871512132,10.987907648106685,5.188644000099885,58.46183386665871,0.4964955558165942,0.0,0.0,,0.0
1.0,fraction_1p0,always,1,6.660560945666627,1704.5896626843387,0.5836282062666621,0.4319623333988905,0.5417370000486699,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,always,2,11.135431788999844,1019.4169232282296,1.9314648736089561,1.0506853332117316,1.3771430000512435,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,always,4,15.412772642000013,736.4718489081788,5.390062588495525,2.500936000008854,51.738252000025874,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,always,8,15.452659803333367,734.5732442997008,10.83478944286873,5.111414666619869,58.33475650001674,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc,1,6.819717452000077,1666.159039490755,0.5976763886897031,0.43183200007964234,0.5244796666374896,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc,2,11.134542145000069,1019.4564150013093,1.9256954083357265,1.0556420000587725,1.3870418332923389,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc,4,15.438615870000072,735.2412201827561,5.395725104425558,2.5092600000486223,50.99502300004133,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc,8,15.486257267666588,732.9799210844316,10.856886444395835,5.127136999969177,58.46097766675484,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc_live,1,3.666765278333363,3096.3970614631585,0.01215579787381693,0.011810999997881785,0.012514666726322806,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc_live,2,3.952987019666883,2873.5413286304047,0.05326380069399961,0.012520666738661626,0.015936666538133675,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc_live,4,3.9227254036668455,2894.900364170724,0.07269538801293618,0.012403666611741452,0.015204333370396247,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,bc_live,8,4.027109964999909,2820.000901684483,0.07205181801825898,0.012502666474271487,0.020805333254732734,1.0,0.0,0.0,,0.0
1.0,fraction_1p0,never,1,6.578884651000105,1726.6751426930934,0.576369965524404,0.40814100005566917,0.5130401665761989,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,never,2,10.779783618333264,1053.0396062190418,1.8630624546449537,1.012372999866784,1.3327078332470894,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,never,4,14.929220156000005,760.3349967682753,5.221742126743883,2.41987333341361,49.16428033341921,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,never,8,15.080881567666742,752.6830800145462,10.583367826740728,4.97947266664293,58.332181833369155,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,proxy,1,7.355187301999952,1578.3072605651498,0.644846232137385,0.41472500000357587,1.3660583334361338,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,proxy,2,10.841558853000151,1046.9947864193878,1.87026310263252,1.008827666585906,1.319163333164397,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,proxy,4,14.922013699333547,760.7085597798638,5.217305720288207,2.4158810000092976,47.7845126667944,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,proxy,8,15.090848015333298,752.200840334022,10.581428930726029,4.970667666687707,58.345443000007435,0.0,0.0,0.0,,0.0
1.0,fraction_1p0,random,1,6.873665807666687,1652.7048217738939,0.6023537463086263,0.4449219998908423,0.5603955000879068,0.49960355915778343,0.0,0.0,,0.0
1.0,fraction_1p0,random,2,11.300070564666536,1004.6198150907999,1.9574041046874353,1.0677853332102434,1.4066396666597332,0.49960355915778343,0.0,0.0,,0.0
1.0,fraction_1p0,random,4,15.542444282666716,730.3538084324946,5.436897595217798,2.5334843335258483,51.28263633325029,0.49960355915778343,0.0,0.0,,0.0
1.0,fraction_1p0,random,8,15.69883337600019,723.0515807391356,11.015760088039693,5.1994463333358,58.43645650005177,0.49960355915778343,0.0,0.0,,0.0
